gene_id,gene_symbol
ENSG00000011426,ANLN
ENSG00000178878,APOLD1
ENSG00000198826,ARHGAP11A
ENSG00000170540,ARL6IP1
ENSG00000066279,ASPM
ENSG00000156802,ATAD2
ENSG00000176208,ATAD5
ENSG00000087586,AURKA
ENSG00000178999,AURKB
ENSG00000089685,BIRC5
ENSG00000012048,BRCA1
ENSG00000139618,BRCA2
ENSG00000136492,BRIP1
ENSG00000169679,BUB1
ENSG00000156970,BUB1B
ENSG00000160298,C21orf58
ENSG00000109881,CCDC34
ENSG00000145386,CCNA2
ENSG00000134057,CCNB1
ENSG00000157456,CCNB2
ENSG00000117399,CDC20
ENSG00000184661,CDCA2
ENSG00000111665,CDCA3
ENSG00000134690,CDCA8
ENSG00000170312,CDK1
ENSG00000129355,CDKN2D
ENSG00000100526,CDKN3
ENSG00000115163,CENPA
ENSG00000138778,CENPE
ENSG00000117724,CENPF
ENSG00000151849,CENPJ
ENSG00000123219,CENPK
ENSG00000100162,CENPM
ENSG00000151725,CENPU
ENSG00000103995,CEP152
ENSG00000138180,CEP55
ENSG00000122966,CIT
ENSG00000136108,CKAP2
ENSG00000169607,CKAP2L
ENSG00000173207,CKS1B
ENSG00000123975,CKS2
ENSG00000092853,CLSPN
ENSG00000119397,CNTRL
ENSG00000013573,DDX11
ENSG00000024526,DEPDC1
ENSG00000099958,DERL3
ENSG00000139734,DIAPH3
ENSG00000231607,DLEU2
ENSG00000126787,DLGAP5
ENSG00000114346,ECT2
ENSG00000171320,ESCO2
ENSG00000106462,EZH2
ENSG00000189057,FAM111B
ENSG00000139354,GAS2L3
ENSG00000075218,GTSE1
ENSG00000184897,H1FX
ENSG00000164032,H2AFZ
ENSG00000119969,HELLS
ENSG00000124610,HIST1H1A
ENSG00000184357,HIST1H1B
ENSG00000187837,HIST1H1C
ENSG00000124575,HIST1H1D
ENSG00000168298,HIST1H1E
ENSG00000196787,HIST1H2AG
ENSG00000274997,HIST1H2AH
ENSG00000276903,HIST1H2AL
ENSG00000180596,HIST1H2BC
ENSG00000277224,HIST1H2BF
ENSG00000275713,HIST1H2BH
ENSG00000233822,HIST1H2BN
ENSG00000197409,HIST1H3D
ENSG00000277775,HIST1H3F
ENSG00000273983,HIST1H3G
ENSG00000197061,HIST1H4C
ENSG00000158406,HIST1H4H
ENSG00000203814,HIST2H2BF
ENSG00000123485,HJURP
ENSG00000164104,HMGB2
ENSG00000072571,HMMR
ENSG00000183856,IQGAP3
ENSG00000138160,KIF11
ENSG00000118193,KIF14
ENSG00000163808,KIF15
ENSG00000121621,KIF18A
ENSG00000186185,KIF18B
ENSG00000112984,KIF20A
ENSG00000138182,KIF20B
ENSG00000137807,KIF23
ENSG00000142945,KIF2C
ENSG00000090889,KIF4A
ENSG00000237649,KIFC1
ENSG00000137812,KNL1
ENSG00000184445,KNTC1
ENSG00000182481,KPNA2
ENSG00000128422,KRT17
ENSG00000113368,LMNB1
ENSG00000164109,MAD2L1
ENSG00000267374,MIR924HG
ENSG00000129534,MIS18BP1
ENSG00000148773,MKI67
ENSG00000146263,MMS22L
ENSG00000138587,MNS1
ENSG00000213347,MXD3
ENSG00000109805,NCAPG
ENSG00000080986,NDC80
ENSG00000117650,NEK2
ENSG00000214357,NEURL1B
ENSG00000154146,NRGN
ENSG00000109685,NSD2
ENSG00000143228,NUF2
ENSG00000137804,NUSAP1
ENSG00000115687,PASK
ENSG00000168078,PBK
ENSG00000166803,PCLAF
ENSG00000132646,PCNA
ENSG00000140451,PIF1
ENSG00000166851,PLK1
ENSG00000051341,POLQ
ENSG00000198901,PRC1
ENSG00000164611,PTTG1
ENSG00000128408,RIBC2
ENSG00000171848,RRM2
ENSG00000182010,RTKN2
ENSG00000163535,SGO2
ENSG00000113810,SMC4
ENSG00000152253,SPC25
ENSG00000117632,STMN1
ENSG00000054654,SYNE2
ENSG00000013810,TACC3
ENSG00000167900,TK1
ENSG00000120802,TMPO
ENSG00000131747,TOP2A
ENSG00000088325,TPX2
ENSG00000213186,TRIM59
ENSG00000112742,TTK
ENSG00000123416,TUBA1B
ENSG00000167553,TUBA1C
ENSG00000188229,TUBB4B
ENSG00000176890,TYMS
ENSG00000175063,UBE2C
ENSG00000108106,UBE2S
ENSG00000077152,UBE2T
ENSG00000196584,XRCC2
ENSG00000138658,ZGRF1
ENSG00000122952,ZWINT
